numCFs,ViconDataDelivered,ViconDataSynchronized,ViconDataProcessed,ViconDatastream,AllGroups,Group0Tracking,Group0Broadcasting,Group1Tracking,Group1Broadcasting,Group2Tracking,Group2Broadcasting,Total
1,3.75559,0.256664,2.99437,0.146801,0.400872,0.154086,0.102316,0,0,0,0,7.5543
5,3.77641,0.270604,3.23974,0.147145,0.622579,0.173622,0.107824,0.172808,0.0966705,0.25337,0.0784609,8.05648
10,3.81512,0.289421,3.85986,0.148317,0.875101,0.389807,0.109452,0.295867,0.0961013,0.378868,0.10484,8.98782
15,3.9493,0.31022,5.63391,0.149883,1.82773,0.564049,0.584008,0.554028,0.584835,0.625272,0.58208,11.871
20,3.98723,0.297254,6.34296,0.15,2.09658,0.793155,0.610321,0.674758,0.586756,0.751384,0.61333,12.874
25,3.97326,0.310457,6.86882,0.152702,3.4737,1.04288,2.2067,0.932078,0.626408,0.957718,0.630027,14.7789
30,3.8766,0.339504,7.6067,0.153146,4.06303,1.24232,2.2034,1.23322,2.20503,1.26004,2.20126,16.039
35,3.83535,0.33597,8.26776,0.175896,4.5919,1.41484,2.23832,1.55099,2.22946,1.55187,2.22904,17.2069
40,3.88893,0.34655,9.10773,0.154877,6.4613,1.44002,2.22939,1.68712,3.79891,1.66823,3.79535,19.9594
45,3.9267,0.348982,9.6483,0.159061,6.7216,1.52905,3.7924,1.84745,3.81271,1.83907,3.81273,20.8046
49,3.95814,0.36896,10.4015,0.158268,8.03937,2.24702,5.4055,2.12467,3.8454,2.20436,3.8432,22.9262
